account.accedi	Accedi
ad_blocker_chrome.adoffs.pro.layer.neutralizes.the.video.a	AdOff free neutralizes the video ad SDK so streams start instantly with no pre-roll or mid-roll, and its Stealth mode spoofs the signals anti-adblock scripts look for.
ad_blocker_chrome.block.ads.video.ads.and.trackers.and.sta	Block ads, video ads and trackers — and stay undetectable. Ultra-light, free, privacy-first.
ad_blocker_chrome.built.native.for.manifest.v3	Built native for Manifest V3
ad_blocker_chrome.does.adoff.work.on.chrome.with.manifest.	Does AdOff work on Chrome with Manifest V3?
ad_blocker_chrome.frequently.asked.questions	Frequently asked questions
ad_blocker_chrome.how.to.block.ads.on.chrome	How to block ads on Chrome
ad_blocker_chrome.is.adoff.for.chrome.free	Is AdOff for Chrome free?
ad_blocker_chrome.network.blocking.stops.ad.and.tracker.re	Network blocking stops ad and tracker requests before they load, cosmetic filtering hides any ad slots that slip through, and the page simply renders cleaner and faster.
ad_blocker_chrome.the.ad.blocker.for.chrome.that.blocks.ev	The ad blocker for Chrome that blocks everything and stays invisible
ad_blocker_chrome.the.complete.ad.blocker.for.chrome	The complete ad blocker for Chrome
ad_blocker_chrome.video.ads.and.anti.adblock.walls	Video ads and anti-adblock walls
ad_blocker_chrome.what.is.the.best.ad.blocker.for.chrome	What is the best ad blocker for Chrome?
ad_blocker_chrome.yes.adoff.is.mv3.native.so.it.keeps.bloc	Yes. AdOff is MV3-native, so it keeps blocking fully under Chrome's current rules, unlike older blockers that lost capability.
ad_blocker_chrome.yes.network.and.cosmetic.ad.blocking.are	Yes. Network and cosmetic ad blocking are free. Video ad neutralization and stealth are available to everyone without limits.
admin-console.analizza_i_leak_rilevati_dal_crawle	Analizza i leak rilevati dal crawler notturno, decide quali fixare, io li applico.
admin-console.autofix_ad_leak_blocker	🔧 Autofix — Ad Leak Blocker
admin-console.carico_i_leak_dal_sistema	Carico i leak dal sistema...
admin-console.giorni_dallinstallazione_alla_disi	Giorni dall'installazione alla disinstallazione (device con heartbeat attivo + uninstall record)
admin-console.le_versioni_con_alto_churn_potrebbe	Le versioni con alto churn potrebbero contenere regressioni. Focus su versioni recenti.
admin-console.leak_selezionati	leak selezionati:
admin-console.oppure	oppure
admin-console.periodo	Periodo:
admin-console.ultimo_submit_sitemap	Ultimo submit sitemap:
admin_console.chat.ai	Chat AI
admin_console.clicks	● Clicks
admin_console.conferma.password	Conferma password
admin_console.disinstallazioni	Disinstallazioni
admin_console.email	Email
admin_console.email.opzionale	Email (opzionale)
admin_console.finanza	Finanza
admin_console.impostazioni	Impostazioni
admin_console.impressions	● Impressions
admin_console.inserisci.un.url.e.clicca.ispeziona.per.	Inserisci un URL e clicca "Ispeziona" per vedere lo stato di indicizzazione.
admin_console.licenze	Licenze
admin_console.max.dispositivi	Max dispositivi
admin_console.mesi.validità	Mesi validità
admin_console.mobile.issue	📱 Mobile issue
admin_console.mobile.ok	📱 Mobile OK
admin_console.nuova.password	Nuova password
admin_console.outreach	Outreach
admin_console.password.attuale	Password attuale
admin_console.password.dimenticata	Password dimenticata?
admin_console.piano	Piano
admin_console.scadenza.yyyy.mm.dd	Scadenza (YYYY-MM-DD)
admin_console.statistiche	Statistiche
admin_console.storico.conversazioni.del.chatbot.ai.ret	Storico conversazioni del chatbot AI (retention 90 giorni)
admin_console.suggerimenti	Suggerimenti
admin_console.suggerimento	Suggerimento
admin_console.supporto	Supporto
admin_console.ticket	Ticket
admin_console.torna.al.login	← Torna al login
admin_console.uninstall.analisi.avanzata	🗑️ Uninstall — Analisi Avanzata
admin_console.usata.per.il.reset.password.tramite.link	Usata per il reset password tramite link email.
admin_console.worker.online	Worker online
affiliati.ci.riserviamo.il.diritto.di.modificare.t	We reserve the right to modify terms, fees, and conditions with notice. Changes do not affect already accumulated commissions.
affiliati.cookie.30.giorni	Cookie affiliate duration
affiliati.iscriviti.da.qualsiasi.paese.payout.in.e	Sign up from any country, payout on request
affiliati.quando.il.referred.user.acquista.un.pian	When the referred user supports the project, you receive a commission. Payout on request to support.
affiliati.usa.il.tuo.link.referral.personalizzato.	Use your personalized referral link on blogs, videos, social media, email. Anyone who clicks it gets a tracking cookie for the duration of the program.
affiliati.usiamo.cookie.first.party.per.tracciare.	We use first-party cookies to track conversions. We support modern browsers with cookies enabled.
android.15.days.free.no.credit.card.cancel.anyti	All features active for everyone, no card. AdOff also works on the browser extension.
android.200.domains.blocked	200+ domains blocked
android.adblock_browser	AdBlock Browser
android.adoff_android	AdOff Android
android.also.coming.to.f.droid	Also coming to F-Droid
android.automatic.updates	Automatic updates
android.blocklists.are.updated.regularly.adoff.k	Blocklists are updated regularly. AdOff keeps the list fresh automatically, so you're always protected against new ad domains.
android.choose.the.right.method.for.your.setup	Choose the right method for your setup
android.compare.blocking.methods	Compare blocking methods
android.dns.level.blocking	DNS-level blocking
android.frequently.asked.questions	Frequently asked questions
android.how.adoff.works.on.android	How AdOff works on Android
android.install.in.3.steps	Install in 3 steps
android.live.blocking.counter	Live blocking counter
android.local.vpn.not.a.proxy	Local, not a proxy
android.made.with.in.the.eu	Made with ❤️ in the EU
android.no.vpn.slot.conflict	No conflict with other apps
android.open.source	Open source
android.ready.to.go.ad.free	Ready to go ad-free?
android.real.time.stats	Real-time stats
android.see.exactly.how.many.ads.and.trackers.ha	See exactly how many ads and trackers have been blocked today — and since you installed AdOff. Numbers update in real time.
android.uses_vpn_slot	Uses local VPN permission
android.vpn_app	Android App
android.when.an.app.requests.an.ad.or.tracker.do	When an app requests an ad or tracker domain, AdOff returns NXDOMAIN. No connection is made, no data is wasted — ads simply don't exist.
android.works.on.android.10.and.above	Works on Android 10 and above
android.zero.ads.zero.trackers.on.every.app	Zero ads. Zero trackers. On every app.
android_ad_blocker.block.ads.on.your.android.phone	Block ads on your Android phone
android_ad_blocker.can.i.use.adoff.with.kiwi.browser.on.and	Can I use AdOff with Kiwi Browser on Android?
android_ad_blocker.can.i.use.an.ad.blocker.on.chrome.for.an	Can I use an ad blocker on Chrome for Android?
android_ad_blocker.frequently.asked.questions	Frequently asked questions
android_ad_blocker.how.to.block.ads.on.android	How to block ads on Android
android_ad_blocker.is.the.android.ad.blocker.free	Is the Android ad blocker free?
android_ad_blocker.no.chrome.for.android.doesnt.support.ext	No — Chrome for Android doesn't support extensions, so extension-based ad blockers can't run there. Use Firefox for Android instead, which supports add-ons like AdOff.
android_ad_blocker.on.android.the.most.reliable.approach.is	On Android the most reliable approach is Firefox for Android plus an add-on like AdOff, since that browser actually supports extensions.
android_ad_blocker.the.working.way.firefox.for.android.adof	The working way: Firefox for Android + AdOff
android_ad_blocker.this.is.the.genuinely.honest.path.on.and	This is the genuinely honest path on Android: we're not claiming a Chrome-Android miracle — we're pointing you to the browser where extensions actually run.
android_ad_blocker.use.firefox.for.android.and.add.adoff.th	Use Firefox for Android and add AdOff — the same clean, ad-free browsing as desktop. Free.
android_ad_blocker.what.about.iphone.and.other.browsers	What about iPhone and other browsers
android_ad_blocker.what.is.the.best.ad.blocker.for.android	What is the best ad blocker for Android?
android_ad_blocker.why.chrome.on.android.has.no.ad.blocker.	Why Chrome on Android has no ad blocker extensions
android_ad_blocker.yes.adoffs.network.and.cosmetic.blocking	Yes. AdOff network and cosmetic blocking are free; video and stealth are available to everyone without limits.
android_dns.add.adoff.for.firefox.android.and.get.vi	Add AdOff for Firefox Android and get video ad blocking, cosmetic filtering, and stealth — on top of DNS protection.
android_dns.android.9.pie.or.later.most.phones.from.	Android 9 (Pie) or later. Most phones from 2018 onward qualify. Check: Settings → About Phone → Android version.
android_dns.block.ads.on.android.without.installing.	Block Ads on Android — Without Installing Anything
android_dns.blocks.ads.in.all.apps	Blocks ads in all apps
android_dns.blocks.tracker.domains	Blocks tracker domains
android_dns.can.i.use.a.vpn.at.the.same.time	Can I use another VPN app at the same time?
android_dns.dns.lookups.add.15ms.of.latency.in.most.	DNS lookups add 1–5ms of latency in most cases. Imperceptible in practice.
android_dns.does.this.block.youtube.ads	Does this block YouTube ads?
android_dns.does.this.slow.down.my.internet	Does this slow down my internet?
android_dns.done.all.apps.are.now.protected	Done — all apps are now protected
android_dns.frequently.asked.questions	Frequently asked questions
android_dns.how.it.works	How it works
android_dns.iphone.uses.safari.content.blockers.whic	iPhone uses Safari Content Blockers, which work differently. AdOff is exploring mobile options.
android_dns.is.this.really.free	Is this really free?
android_dns.no.video.ads.served.from.the.same.domain	No. Video ads served from the same domain as content cannot be blocked via DNS. Use AdOff for Firefox Android or the desktop extension for video ad blocking.
android_dns.open.settings.on.your.android.phone	Open Settings on your Android phone
android_dns.privacy.note	Privacy note
android_dns.select.private.dns.provider.hostname	Select "Private DNS provider hostname"
android_dns.setup.takes.60.seconds	Setup takes 60 seconds
android_dns.step.by.step.setup	Step-by-step setup
android_dns.tap.save	Tap Save
android_dns.the.dns.setup.protects.all.apps.adoff.fo	The DNS setup protects all apps. AdOff for Firefox Android adds video ad blocking and cosmetic filtering on top. Together they give you comprehensive protection across your entire phone.
android_dns.want.full.video.ad.blocking.too	Want full video ad blocking too?
android_dns.what.about.iphone	What about iPhone?
android_dns.what.you.dont.get.honest.answer	What you don't get (honest answer)
android_dns.what.you.get	What you get
android_dns.which.devices.are.supported	Which devices are supported
android_dns.works.alongside.adoff.browser.extension	Works alongside AdOff browser extension
android_dns.works.alongside.any.vpn.no.slot.consumed	Works alongside any VPN (no conflict)
android_dns.yes.adoff.dns.uses.adguards.public.dns.r	Yes. AdOff DNS uses AdGuard's public DNS resolver, which is free and unlimited. No account needed.
android_dns.yes.private.dns.works.alongside.any.vpn.	Yes. Private DNS works alongside any other VPN — there is no conflict.
android_dns.zero.battery.impact	Zero battery impact
apistatus.connessione	Connessione...
app.sidebar_main_content	Sidebar 

 Main content
article_page.android_9_and_later_has_built_in_pr	Android 9 and later has built-in Private DNS. Point it to AdOff and every app on your phone gets ad and tracker blocking — no battery drain, no conflict.
article_page.two_extras_are_reserved_for_pro	Two extra features: Stealth Mode (invisible to anti-adblock systems) and video-ad neutralization. Available to everyone without limits.
autofix_shadow_notice.nessun_fix_viene_deployato_automa	— Nessun fix viene deployato automaticamente. Dopo aver deciso, esegui manualmente da riga di comando:
bulk_info.licenze_selezionate	licenze selezionate
card.loading_state_success_state_e	Loading State 

 Success State 

 Error State
card_title.azioni_rapide	⚡ Azioni Rapide
card_title.cambia_password	Cambia password
card_title.churn_per_versione	📦 Churn per Versione
card_title.coorte_quanto_durano_gli_utenti	📊 Coorte: quanto durano gli utenti?
card_title.device_split	📱 Device Split
card_title.disinstallazioni_per_browser	Disinstallazioni per browser
card_title.disinstallazioni_recenti_con_comme	Disinstallazioni recenti (con commenti)
card_title.distribuzione_piani	Distribuzione piani
card_title.distribuzione_piani_1	Distribuzione piani
card_title.download_per_browser	Download per browser
card_title.download_per_browser_1	Download per browser
card_title.email_di_recupero	Email di recupero
card_title.funnel_install_attivo_silenz	🔄 Funnel: Install → Attivo → Silenzioso → Disinstall
card_title.genera_nuova_licenza	Genera nuova licenza
card_title.genera_registra_referral_code	Genera & registra referral code
card_title.google_analytics_4	📊 Google Analytics 4
card_title.info_api	Info API
card_title.installazioni_recenti	Installazioni recenti
card_title.installazioni_recenti_1	Installazioni recenti
card_title.installazioni_ultimi_7_giorni	Installazioni ultimi 7 giorni
card_title.installazioni_vs_disinstallazioni	Installazioni vs Disinstallazioni · ultimi 7 giorni
card_title.log_installazioni_recenti	Log installazioni recenti
card_title.motivi_di_disinstallazione	Motivi di disinstallazione
card_title.opportunità_keyword_in_posizion	🎯 Opportunità — Keyword in posizione 5-20 (alto potenziale)
card_title.revenue_per_piano	Revenue per piano
card_title.revenue_ultimi_30_giorni	Revenue last 30 days
card_title.revenue_ultimi_7_giorni	Revenue ultimi 7 giorni
card_title.revenue_ultimi_7_giorni_1	Revenue ultimi 7 giorni
card_title.risultati_batch_inspect	🔍 Risultati Batch Inspect
card_title.search_appearances	✨ Search Appearances
card_title.sitemap	🗺️ Sitemap
card_title.sorgenti_di_installazione	Sorgenti di installazione
card_title.top_keyword_per_clicks	🔑 Top Keyword per Clicks
card_title.top_paesi	Top Paesi
card_title.top_paesi_1	🌍 Top Paesi
card_title.top_paesi_installazioni	Top Paesi (installazioni)
card_title.top_pagine_per_impressions	📄 Top Pagine per Impressions
card_title.trend_clicks_impressions	📈 Trend Clicks & Impressions
card_title.trend_motivazioni_7g_vs_14g_vs_3	📈 Trend Motivazioni (7g vs 14g vs 30g)
card_title.url_inspector	🔍 URL Inspector
container.config_stats_tabs_panel_g	Config 

 Stats 

 Tabs 

 Panel: Genera 

 Panel: Licenze 

 Panel: Valida 

 Panel: Google Analisi (Search Console) 

 Panel: Retention
divider.oppure	oppure
dk.autenticazione	Autenticazione
dk.endpoint	Endpoint
dk.versione	Versione
dv.adoff_worker	AdOff Worker
dv.session_token	Session Token
empty_msg.nessuna_licenza_genera_la_prima	Nessuna licenza. Genera la prima!
faq.con_stealth_mode_attivo_piano_pro	With Stealth Mode active: no. AdOff injects into the MAIN context of the page and spoofs JavaScript variables, intercepts detection fetches.
faq.sì_adoff_è_disponibile_per_chrome	Yes. AdOff is available for Chrome, Edge, Brave, and Firefox. It works on every browser you install, with no license needed.
faq.sì_davvero_gratis_il_piano_free_è	Yes, really free. AdOff is free, no account, no limits, no credit card.
faq_battery.minimal_impact_adoff_only_intercep	Minimal impact. AdOff only intercepts — a tiny fraction of your phone network activity. The connection is local and lightweight.
faq_dns.the_requires_you_configure_andr	The requires — you configure Android built-in Private DNS. AdOff Android offers deeper, more comprehensive blocking across all apps.
faq_pro.yes_15_days_completely_free_no_c	Yes — everything is active and free, no credit card. AdOff works, no limits.
faq_section.30_giorni_se_qualcuno_clicca_il_tu	Affiliate duration. If someone clicks your link and purchases, you receive the commission.
faq_vpn_slot.no_adoff_creates_a_it_doesnt_r	No. AdOff creates a local connection — it does not route your traffic through an external server. You can use AdOff alongside any other app without conflict.
free_ad_blocker.a.free.ad.blocker.for.every.browser	A free ad blocker for every browser
free_ad_blocker.adoff.is.a.free.ad.blocker.for.chrome.ed	AdOff is a free ad blocker for Chrome, Edge, Brave, Opera and Firefox. It blocks ads and trackers on every website with no account and no sign-up, using around 144 network rules plus cosmetic hiding.
free_ad_blocker.block.ads.on.every.site.free.no.account.	Block ads on every site free — no account, zero data collection.
free_ad_blocker.chrome.edge.brave.opera.and.firefox.with	Chrome, Edge, Brave, Opera and Firefox, with Safari on the way. The same free extension installs on every Chromium browser.
free_ad_blocker.do.i.need.an.account.to.use.the.free.ad.	Do I need an account to use the free ad blocker?
free_ad_blocker.free.but.not.paid.with.your.data	Free, but not paid with your data
free_ad_blocker.frequently.asked.questions	Frequently asked questions
free_ad_blocker.is.adoff.free.forever	Is AdOff really free?
free_ad_blocker.is.adoff.really.free	Is AdOff really free?
free_ad_blocker.no.there.is.no.account.no.sign.up.and.no	No. There is no account, no sign-up and no email required. Install it and ads are blocked on every site straight away.
free_ad_blocker.the.free.ad.blocker.that.blocks.every.ad	The free ad blocker that blocks every ad — no account, no catch
free_ad_blocker.the.free.ad.blocker.with.nothing.to.hide	The free ad blocker with nothing to hide
free_ad_blocker.which.browsers.does.the.free.ad.blocker.	Which browsers does the free ad blocker work on?
free_ad_blocker.yes.the.free.tier.never.expires.you.get.	Yes. The free blocking never expires and works without time limits on every site.
guarantee.anche_se_non_paghi_mai_il_blocco	, everything on, no expiry.
              AdOff always works.
guide.19_disinstallazione	19. Disinstallazione
guide.1_cose_adoff	1. Cos'e' AdOff
guide.1_giorno	1 giorno
guide.1_ora	1 ora
guide.2_installazione	2. Installazione
guide.3_primo_avvio	3. Primo avvio
guide.4_il_popup	4. Il Popup
guide.6_pagina_opzioni	6. Pagina Opzioni
guide.9_sistema_referral	9. Sistema Referral
guide.activetab	activeTab
guide.adoff.blocca.le.pubblicita.su.tutti.i.si	AdOff blocks ads on every website. It operates on 4 levels: network blocking, CSS hiding, video ad neutralization, stealth anti-detection.
guide.all_urls	all_urls
guide.blocco.ads.su.ogni.sito.video.ads.sulle.	Ad blocking on every site. Video ads on streaming platforms.
guide.declarativenetrequest	declarativeNetRequest
guide.free_vs_pro	Free vs Pro
guide.invita_amici_body	Invite friends to try AdOff. More people use AdOff, less invasive advertising on the web.
guide.le.impostazioni.locali.vengono.cancellat	Local settings are cleared. The referral code is lost.
guide.livello.4.stealth.mode.solo.protrial	Level 4. Stealth Mode
guide.livello_3_neutralizzazione_video_a	Level 3. Video ad neutralization
guide.logo.nome.adoff.badge.licenza.free.trial	Logo, AdOff name, badge showing active feature status.
guide.per.problemi.con.la.licenza.pro.usa.il.f	For issues, use the support form with your details.
guide.piano_e_licenza.body	AdOff is free. Every feature is active without limits, no account, no expiration. There is no limited Free version: everything works from installation.
guide.piano_gratuito_verde	All features are free: ad blocking on all sites, ad-free videos, Stealth Mode, support.
guide.quando_un_amico_installa_ricevi	When a friend installs AdOff, your code is registered
guide.sostegno_body	If you want to support the project, you can. Support is completely voluntary and unlocks nothing: all features were and remain free. You can cancel anytime.
guide.sostegno_volontario	Voluntary support
guide.stealth.mode.protrial.invisibile.ai.sist	Stealth Mode: invisible to anti-adblock systems
guide.trial.pro.15.giorni.attivato.automaticam	All features activated automatically
guide.verifica.di.avere.pro.o.trial.serve.stea	Check active features
guide.visibile.per.free.prova.pro.15.giorni.gr	Visible when features are active. Hidden when they are not.
hero.trial_15_giorni_nessuna_carta	Free, no account, no card
home.b4.d	Ads before and during videos on streaming platforms disappear.
home.faq.a3	Yes. AdOff neutralizes video ads on major streaming platforms using the IMA standard.
home.faq.a4	Stealth tech makes AdOff invisible to anti-adblock systems, so you keep browsing without seeing those walls.
home.faq.a6	Nothing. AdOff is free: every feature is active, no account and no expiration. If you want you can support the project, but it unlocks nothing.
home.faq.a8	Yes. If you support the project you can stop whenever you want, in one click, without losing any feature.
home.final.note	Open source · Works instantly · No account
home.guar.g1.d	Every feature is active from day one, no card and no expiration.
home.guar.g1.t	Free, no limits
home.guar.title	Try without any risk.
home.hero.title	Block the ads, <em>free</em>.
home.p.free.f4	Stealth anti-adblock — goodbye walls
home.p.free.f5	Video ads neutralized
home.p.free.name	Everything included
home.p.free.note	Free, no account, no limits.
home.p.support	If you like it you can support the project. It unlocks nothing: you already have everything.
home.pricing.label	Everything included
home.pricing.title	Everything included, free.
home.trust.free	Free, no limits
home.trust.trial	Everything included
home.wall.cta	Add to your browser free
home.wall.text	Stealth tech makes AdOff invisible to anti-adblock systems. Those walls that block your page? They simply don't show up anymore.
install.compare.f5	Stealth Mode
install.compare.free	Free plan (the same)
install.compare.p3	Stealth anti-detection
install.compare.title	What you get with AdOff
install.newsletter.cta	Subscribe
install.newsletter.desc	Updates and news about AdOff, no spam.
install.newsletter.title	Newsletter
install.ready.desc	AdOff is ready. Ad blocking, ad-free videos, anti-adblock protection: everything works as soon as you install. No account, no setup.
install.ready.title	Everything active, right away
install.safari.s6.desc	<strong>6.1</strong> Reopen Safari Preferences: <strong>Safari</strong> → <strong>Preferences</strong> (or Cmd+,).<br> <strong>6.2</strong> Click the <strong>Extensions</strong> tab (puzzle icon).<br> <strong>6.3</strong> Enable AdOff and grant the required permissions.
install.safari.s6.success	Done. AdOff is active. All features are available without limits.
install.stay.title	Stay in touch
install.stores.chrome.browsers	Chrome · Brave · Opera · Vivaldi
install.stores.chrome.label	Chrome Web Store
install.stores.edge.browsers	Microsoft Edge Desktop
install.stores.edge.label	Edge Add-ons
install.stores.firefox.browsers	Firefox Desktop · Firefox Android
install.stores.firefox.label	Firefox Add-ons
install.stores.opera.browsers	Opera Desktop · Opera GX
install.stores.opera.label	Opera Add-ons
install.stores.safari.browsers	Safari macOS 13+
install.stores.safari.label	Mac App Store
install.tab.brave	Brave
install.tab.chrome	Chrome
install.tab.edge	Edge
install.tab.firefox	Firefox
install.tab.opera	Opera
install.tab.safari	Safari
install.tab.vivaldi	Vivaldi
install.telegram.cta	Join the community
install.telegram.desc	Announcements on new releases and direct support from the developers.
install.telegram.title	Telegram Community
install.trial.desc	No card. Stealth Mode, video ad blocking, and timed pause are active for everyone, no limits.
install.trial.title	First launch: all features active
kpi_label.attivi_3gg	Attivi (3gg)
kpi_label.disinstallazioni	Disinstallazioni
kpi_label.installazioni_totali	Installazioni totali
kpi_label.trial_attivi	Active users
kpi_sub.protrial	User status
label.attive	Attive
label.email_inviata_a	Email inviata a
label.licenze_totali	Licenze totali
label.revocate	Revocate
license_guide.15.giorni.gratis.garanzia.rimborso.30.gi	Free, no limits · Optional support · Cancel anytime
license_guide.adoff.mostra.una.notifica.che.il.tuo.lim	AdOff mostra una notifica che il tuo limite di dispositivi è stato raggiunto
license_guide.come.funzionano.le.licenze.adoff	Come funzionano le licenze AdOff
license_guide.come.iniziare	Come iniziare
license_guide.dallacquisto.alla.protezione.attiva.in.m	Dall'acquisto alla protezione attiva in meno di due minuti.
license_guide.domande.frequenti	Domande frequenti
license_guide.gestisci.i.dispositivi.come.un.servizio.	Gestisci i dispositivi come un servizio streaming
license_guide.inizia.con.la.prova.gratuita.di.15.giorn	AdOff is free, no limits. No credit card required.
license_guide.licenze	Licenze
license_guide.massimo.3.rimozioni.di.dispositivi.al.gi	Massimo 3 rimozioni di dispositivi al giorno (limite anti-abuso)
license_guide.ogni.browser.conta.come.un.dispositivo.a	Ogni browser conta come un dispositivo, anche sullo stesso computer
license_guide.prezzo.founder.bloccato.a.vita.per.i.pri	Those who support the project get a locked-for-life price
license_guide.prova.gratuita.di.15.giorni.inclusa	Free features included, no limits
license_guide.rimuovere.un.dispositivo.è.istantaneo.lo	Rimuovere un dispositivo è istantaneo, lo slot liberato è disponibile subito
license_guide.rimuovi.dispositivi.vecchi.in.qualsiasi.	Rimuovi dispositivi vecchi in qualsiasi momento per liberare slot
license_guide.risparmia.molto.rispetto.al.mensile	Risparmia molto rispetto al mensile
license_guide.risposte.rapide.alle.domande.di.licenza.	Risposte rapide alle domande di licenza più comuni.
license_guide.tutte.le.funzioni.pro	Tutte le funzioni Pro
login_sub.admin_dashboard	Admin Dashboard
login_sub.nuova_password	Nuova Password
login_sub.recupero_password	Recupero Password
loginwrap.main_login_form_forgot_password	Main login form 

 Forgot password 

 Reset password
modal_title.modifica_licenza	Modifica Licenza
no_license.caricamento	Caricamento...
num.count	Count
num.install	Install
num.install_1	Install
num.install_2	Install
num.install_3	Install
num.uninstall	Uninstall
num.uninstall_1	Uninstall
num.uninstall_2	Uninstall
num.uninstall_3	Uninstall
orefmsg.il_codice_registrato_traccia_le_con	Il codice registrato traccia le conversioni in automatico via il sistema referral esistente.
page_licenses.new_license_form_bulk_action_bar	New license form 

 Bulk action bar
page_stats.kpi_sempre_visibili_riassunto_cros	KPI sempre visibili (riassunto cross-tab) 

 Tab 

 Tab: Panoramica 

 Tab: Acquisizione 

 Tab: Disinstallazioni 

 Tab: Business 

 Tab: SEO / AEO 

 Tab: Autofix — Ad Leak Blocker
panel.admin	Admin
panel.admin.token	Admin Token
panel.adoff	AdOff
panel.andamento_ultimi_30_giorni_impress	Performance last 30 days (impression)
panel.api.url	API URL
panel.azioni	Azioni
panel.browser	🌐 Browser
panel.dati_google_search_console	Dati Google Search Console ·
panel.device_level_tracking_installazion	Device-level tracking: installazioni, retention, uninstall.
panel.dispositivi	Dispositivi
panel.durata.mesi	Durata (mesi)
panel.email	Email
panel.installazioni.giornaliere.30gg	📅 Installazioni giornaliere (30gg)
panel.license.key.raw	License Key (raw)
panel.license_key_generata	License Key generata:
panel.max.dispositivi	Max dispositivi
panel.motivi.disinstallazione	🗑️ Motivi disinstallazione
panel.motivo	Motivo
panel.opportunità_pos_520_da_spinger	💡 Opportunità (pos. 5–20 da spingere)
panel.paese	Paese
panel.piano_1	Piano
panel.rate	Rate
panel.rate_1	Rate
panel.rate_2	Rate
panel.rate_3	Rate
panel.retention.curve.dispositivi.ancora.attiv	📈 Retention Curve (% dispositivi ancora attivi)
panel.scadenza	Scadenza
panel.source	Source
panel.source.canale	📦 Source / Canale
panel.stato	Stato
panel.top.20.paesi	🌍 Top 20 Paesi
panel.top_paesi	🌍 Top paesi
panel.top_pagine	📄 Top pagine
panel.top_query	🔎 Top query
panel.ultimo_aggiornamento_aggiorname	Ultimo aggiornamento:  · aggiornamento automatico ogni giorno
panel_gsc.kpi_cards_trend_sparkline	KPI cards 

 Trend sparkline
panel_licenses.filtri_bulk_action_bar	Filtri 

 Bulk action bar
panel_retention.kpi_cards_retention_curve_dai	KPI cards 

 Retention curve 

 Daily trend 

 Breakdown grids 

 By Country
pricing.faq.free.a	Yes. Every feature is active for everyone, no account, no expiration. There is no limited version.
pricing.faq.free.q	Is AdOff really free?
pricing.faq.refund.a	If you supported the project and are not satisfied, request a full refund. No questions, no hassle.
pricing.faq.refund.q	How does the refund work?
pricing.faq.support.a	Yes. Support is completely voluntary. It unlocks nothing: all features were and remain free. You can cancel anytime.
pricing.faq.support.q	Can I support the project?
pricing.faq.why.a	Because invasive advertising is a problem that affects everyone. Forcing people to pay to not be tracked is unfair. If you want to support the project, you can. But you don't have to.
pricing.faq.why.q	Why is AdOff free?
pricing.included.ads	Ad blocking on every website
pricing.included.label	Everything included
pricing.included.stealth	Invisible protection from anti-adblock systems
pricing.included.title	Nothing to pay. Everything already active.
pricing.included.tracking	No tracking, no data collected
pricing.included.video	Ad-free videos on every platform
pricing.support.all	Support is available for everyone, for free.
pricing.support.label	Support
pricing.support.refund	Did you support the project? You can cancel anytime. Request a full refund.
pricing.support.title	Need help? We answer everyone.
privacy.newsletter.title	Newsletter
