severity,category,file,line,summary,evidence,fix
critical,prezzo,hi/license-guide.html,517,"Prezzi mensili errati: mostra range 2,69-5,99 (tier device inesistenti)","riga 517: '€2,69–5,99/mese'","Piano UNICO: mensile 2,99€. Rimuovere range e tier dispositivi"
critical,prezzo,hi/license-guide.html,531,"Prezzi annuali errati: range 29,59-59,99","riga 531: '€29,59–59,99/anno'","Annuale 29,99€ (Premium standard 49,99€). 29,59 e 59,99 non esistono"
critical,prezzo,hi/license-guide.html,544,"Piano Lifetime inesistente con prezzi 67,90-129,90","righe 544-545: 'Pro Lifetime' '€67,90–129,90'",Il piano Lifetime NON esiste nella SSOT; rimuovere l'intera card
critical,prezzo,hi/license-guide.html,573,Intera sezione tier dispositivi (3/5/10) con prezzi tutti inesistenti,"righe 573-628: '3 Dispositivi €2,69/mese €29,59/anno €67,90'; '5 Dispositivi €3,99/€39,99/€89,90'; '10 Dispositivi €5,99/€59,99/€129,90'",I tier dispositivi 3/5/10 sono rimandati e NON esistono; rimuovere l'intera sezione. Nessuno di questi prezzi è valido
critical,link-morto,hi/pricing.html,260,pricing.html NON esiste nella cartella hi/ ma index.html vi punta con link relativi,"index.html righe 260/264: href=""pricing.html"" (2 link) + href=""pricing.html"" nel CTA compare","Creare hi/pricing.html tradotto in hindi, oppure puntare a /pricing.html della lingua base; ora produce 404"
critical,traduzione,hi/support.html,121,"Intero form supporto in ITALIANO: label, categorie, priorità, placeholder, quick-help",riga 121 '<h1>Supporto</h1>'; riga 129 'Categoria'; riga 131 'Segnalazione bug'; riga 196 'Soluzioni rapide'; riga 207 'Blocco video ads è disponibile in AdOff Pro e Trial',Tradurre tutti i testi visibili in hindi (i data-i18n esistono ma il fallback italiano è quello mostrato senza JS)
critical,prezzo,id/best-ad-blocker-2026.html,264,"JSON-LD offers con prezzi/piani obsoleti (annuale 19,99 poi 24,99, Founder Lifetime 99)",Pro Annual price 19.99 ... then 24.99 (righe 264-267); Founder Lifetime price 99 (righe 271-273),"Annuale 29,99€/49,99€; rimuovere Lifetime; aggiungere Premium 4,99€"
critical,prezzo,id/guide.html,485,Tabella prezzi con valori obsoleti e piano Lifetime inesistente vs SSOT,"Pro Tahunan 19,99 EUR/tahun ; Pro Lifetime 99 EUR (riga 485-486)","Annuale 29,99€ (founder) / 49,99€ standard; rimuovere riga Lifetime; aggiungere Premium 4,99€"
critical,prezzo,id/license-guide.html,531,Prezzi Pro completamente errati (device-tier obsoleti €2.69-€5.99) vs SSOT,plan-price-range €2.69 - €5.99 per bulan (3-10 perangkat) (righe 531-532),"Pro mensile 2,99€ / annuale 29,99€; niente tier device"
critical,prezzo,id/license-guide.html,544,Piano Seumur Hidup (Lifetime) inesistente + prezzi €67.90-€129.90,plan-name Seumur Hidup €67.90 - €129.90 (righe 544-545),Rimuovere completamente il piano Lifetime (non esiste)
critical,prezzo,id/license-guide.html,567,Intera sezione device tiers con prezzi obsoleti 2.69/3.99/5.99/29.59/39.99/59.99/67.90/89.90/129.90 (tutti errati),3 Perangkat €2.69/€29.59/€67.90 ; 5 Perangkat €3.99/€39.99/€89.90 ; 10 Perangkat €5.99/€59.99/€129.90 (righe 567-599),"Rimuovere i tier device; usare piano unico 2,99€/mese, 29,99€/anno; aggiungere Premium 4,99€"
critical,link-morto,id/pricing.html,0,pricing.html non esiste nella cartella id/ ma index.html vi punta più volte (→404),"index.html: href=""pricing.html"" (righe 260, 264); guide/best-ad-blocker rimandano al confronto piani",Creare id/pricing.html (tradotto e con prezzi SSOT) oppure far puntare i link a /pricing.html root/EN
critical,claim-contraddittorio,install.html,352,Trial banner dice '30 giorni Pro gratis' ma la SSOT (e il resto della pagina) indica trial di 15 giorni,"data-i18n=""install.trial.title"">Primo accesso: 30 giorni Pro gratis",15 giorni Pro gratis
critical,congruenza,install.html,353,Contraddizione interna nello stesso banner: titolo dice '30 giorni' ma la descrizione dice 'Dopo 15 giorni',Dopo 15 giorni decidi se continuare o passare al piano Free,Uniformare a 15 giorni sia nel titolo (riga 352) sia nella descrizione
critical,claim-contraddittorio,install.html,979,Etichetta comparativa 'Piano Pro (trial 30gg incluso)' contraddice il trial di 15 giorni della SSOT,"data-i18n=""install.compare.pro"">Piano Pro (trial 30gg incluso)",Piano Pro (trial 15gg incluso)
critical,testo-illeggibile,install.html,107,"Il tema DEFAULT del sito è LIGHT (:root ha --bg #f7f7fb, --text #1a1a2e scuro), ma quasi tutti i componenti dello <style> inline di install.html hanno background dark hardcoded (#12122a/#0a0a1a/#1a1a36) con testo che usa var(--text). In tema light il testo diventa #1a1a2e (quasi nero) su fondo #12122a (quasi nero) = illeggibile. Difetto sistemico che rende gran parte della pagina inutilizzabile nel tema di default.",.compat-card{background:#12122a;...} + .compat-name{color:var(--text)} (light=#1a1a2e nero su nero),"Sostituire i background hardcoded #12122a/#0a0a1a/#1a1a36 con le variabili tema-aware var(--surface)/var(--bg)/var(--surface-2) e i bordi #2a2a4a con var(--border), come già fa style.css, così i compo"
critical,testo-illeggibile,install.html,105,".compat-card ha background #12122a fisso e .compat-name usa color:var(--text): in tema light il nome browser (Chrome, Edge, Brave...) è testo scuro #1a1a2e su card scura #12122a, praticamente invisibile.",.compat-card{background:#12122a;border:1px solid #2a2a4a} / .compat-name{color:var(--text)},background: var(--surface); border: 1px solid var(--border); così in light la card è bianca e il nome scuro resta leggibile.
critical,testo-illeggibile,install.html,126,".os-card ha background #12122a fisso e .os-name usa color:var(--text): in tema light i nomi OS (Windows, macOS, Linux...) sono scuri su card scura = illeggibili.",.os-card{background:#12122a} / .os-card .os-name{color:var(--text)},background: var(--surface); border: 1px solid var(--border).
critical,testo-illeggibile,install.html,139,".download-box (card ZIP Chromium/Firefox/Safari) ha background #12122a fisso; contiene <h3> (es. 'Chromium ZIP') senza color esplicito che eredita var(--text). In tema light: titolo scuro su card scura, illeggibile.",".download-box{background:#12122a;border:2px solid #2a2a4a} + <h3 style=""font-size:16px"">Chromium ZIP</h3>",background: var(--surface); border: 2px solid var(--border); (i titoli h3 seguiranno var(--text) leggibile su bianco).
critical,testo-illeggibile,install.html,187,".store-card (Chrome Web Store, Firefox, Edge, Opera, Safari) ha background #12122a fisso e .store-card__name usa color:var(--text): in tema light il nome 'AdOff' e le label sono scuri su card scura = quasi invisibili. È la CTA primaria della pagina.",.store-card{background:#12122a;border:2px solid #2a2a4a} / .store-card__name{color:var(--text)},background: var(--surface); border: 2px solid var(--border).
critical,testo-illeggibile,install.html,261,.steps-container (il pannello con tutti gli step di installazione) ha background #12122a fisso. In tema light i .step-title (var(--text)) e .step-desc (var(--text-muted)) sono testo scuro/medio su fondo scuro = leggibilità gravemente compromessa su tutto il contenuto istruzioni.,.steps-container{background:#12122a;border:1px solid #2a2a4a} / .step-title{color:var(--text)},background: var(--surface); border: 1px solid var(--border); e bordi step-interni #1a1a36 → var(--border-subtle).
critical,testo-illeggibile,install.html,289,.hint-box ha background #0a0a1a fisso (quasi nero); il testo interno eredita il colore body var(--text). In tema light il testo diventa scuro #1a1a2e su fondo #0a0a1a nero = illeggibile. Colpisce tutti i box 'Importante/Suggerimento' sparsi negli step.,.hint-box{background:#0a0a1a;border:1px solid #2a2a4a},background: var(--surface-2); border: 1px solid var(--border); (mantiene i bordi warning/success/info già in rgba).
critical,testo-illeggibile,install.html,301,.faq-item ha background #12122a fisso e .faq-q eredita var(--text): in tema light le domande FAQ sono testo scuro su card scura = illeggibili. La risposta .faq-a usa var(--text-muted) medio su scuro = altrettanto poco leggibile.,.faq-item{background:#12122a;border:1px solid #2a2a4a} / .faq-q eredita color body var(--text),background: var(--surface); border: 1px solid var(--border).
critical,prezzo,ja/best-ad-blocker-2026.html,265,"Prezzi errati nel JSON-LD e nella FAQ: annuale 19,99€ + '24.99' + Lifetime 99€ (Lifetime non esiste; annuale SSOT 29,99/49,99)",JSON-LD Offer 'Pro Annual' price '19.99' description 'locked...then 24.99'; Offer 'Founder Lifetime' price '99'; FAQ '月2.99EURまたは年19.99EUR',"Annuale 29,99€ (Founder) / 49,99€ standard; rimuovere Lifetime; correggere FAQ"
critical,prezzo,ja/guide.html,485,"Tabella piani con prezzi errati: Pro年額 19,99€ e Pro生涯 99€ (Lifetime inesistente); SSOT annuale=29,99€, niente Lifetime",'<td>Pro年額</td><td>19.99 EUR/年</td><td>Founder価格を生涯ロック</td>'; '<td>Pro生涯</td><td>99 EUR</td><td>永久Pro</td>',"Annuale 29,99€ (Founder) / 49,99€ (standard); rimuovere riga Pro生涯 (Lifetime non esiste)"
critical,link-morto,ja/index.html,260,Il CTA Premium e il link 'confronta tutti i piani' puntano a pricing.html che NON esiste nella cartella ja/ (404),"href=""pricing.html"" (righe 260 e 264); ls ja/ non contiene pricing.html",Creare ja/pricing.html oppure puntare il link a una pagina prezzi esistente (es. /pricing.html root o license-guide)
critical,traduzione,ja/install.html,707,Blocco di istruzioni Safari step 3 interamente in ITALIANO non tradotto (duplicato del contenuto giapponese sopra),"<strong>3.4</strong> Clicca nella finestra Terminal, incolla con <strong>Cmd+V</strong>, poi premi <strong>Return</strong>.<br> ... 3.5 Terminal chiede ""Continue?"". Scrivi y ... 3.8 Compilazione: atte",Rimuovere il blocco italiano (righe ~707-711); il testo giapponese equivalente è già presente nel data-i18n-html sopra
critical,prezzo,ja/license-guide.html,517,"Prezzi Pro completamente errati vs SSOT: mensile 2,69-5,99€ e annuale 29,59-59,99€ (SSOT: mensile 2,99€, annuale 29,99€)","plan-price-range '€2,69–5,99/月'; '€29,59–59,99/年'","Mensile 2,99€, annuale 29,99€; rimuovere i range da device-tier obsoleto"
critical,claim-contraddittorio,ja/license-guide.html,542,"Intera sezione 'Pro生涯版' (Lifetime 67,90-129,90€) e device-tier 3/5/10 device (2,69/3,99/5,99€) descrivono un modello di pricing che NON esiste più","'Pro生涯版' €67,90–129,90; tier '3デバイス €2,69/月 €29,59/年 €67,90'; '5デバイス €3,99/月'; '10デバイス €5,99/月 €59,99/年 €129,90'","Rimuovere Lifetime e device-tier; sostituire con piano unico Pro 2,99€/29,99€ + Premium 4,99€"
critical,prezzo,ko/best-ad-blocker-2026.html,241,JSON-LD offers include 'Founder Lifetime' €99: il piano Lifetime NON esiste (SSOT),"{ ""@type"": ""Offer"", ""name"": ""Founder Lifetime (limited launch offer)"", ""price"": ""99"", ""priceCurrency"": ""EUR"" }",Rimuovere l'offer Lifetime
critical,prezzo,ko/guide.html,484,"Prezzo annuale errato €19.99 (SSOT annuale=29,99€; nessun 19,99) + trial 30일",<tr><td>Pro 연간</td><td>€19.99/년</td><td>Founder 가격 평생 고정</td></tr>  e  <tr><td>Pro 트라이얼</td><td>30일 무료</td>,€19.99→€29.99; 30일→15일
critical,prezzo,ko/guide.html,486,Piano 'Pro 평생' (Lifetime) €99 elencato: il piano Lifetime NON esiste secondo SSOT,<tr><td>Pro 평생</td><td>€99</td><td>영구 Pro</td></tr>,Rimuovere la riga Lifetime (non esiste)
critical,link-morto,ko/index.html,260,Link a pricing.html che NON esiste nella cartella ko/ (relativo) → 404,"<a class=""btn btn--outline"" data-i18n=""home.p.prem.cta"" href=""pricing.html"">Premium 자세히 보기</a>",pricing.html non esiste in site/ko/; puntare a una pagina esistente (es. /pricing.html root o license-guide.html) o creare ko/pricing.html
critical,link-morto,ko/index.html,264,Secondo link a pricing.html inesistente in ko/ (모든 플랜 비교하기 →) → 404,"<a class=""btn btn--ghost"" data-i18n=""home.pricing.compare"" href=""pricing.html"">모든 플랜 비교하기 →</a>",Correggere href verso pagina esistente (pricing root o license-guide.html)
critical,prezzo,ko/license-guide.html,517,"Prezzo mensile a range errato €2.69~5.99 (SSOT mensile=2,99€; 2,69 e 5,99 sono prezzi obsoleti/inesistenti)","<div class=""plan-price-range"">€2.69~5.99<span ...>/월</span></div>","Sostituire con €2.99/월 (piano unico, no range device-tier)"
critical,prezzo,ko/license-guide.html,531,"Prezzo annuale a range errato €29.59~59.99 (SSOT annuale=29,99€; questi valori sono obsoleti)","<div class=""plan-price-range"">€29.59~59.99<span ...>/년</span></div>",Sostituire con €29.99/년
critical,prezzo,ko/license-guide.html,545,Piano 'Pro 평생' (Lifetime) €67.90~129.90: piano Lifetime NON esiste (SSOT); prezzi inesistenti,"<div class=""plan-name"">Pro 평생</div> ... <div class=""plan-price-range"">€67.90~129.90</div>",Rimuovere l'intera card Lifetime
critical,prezzo,ko/license-guide.html,573,Device tier 3개 con prezzi obsoleti €2.69/€29.59/€67.90 (tier device rimandati; prezzi inesistenti; no Lifetime),3개 기기 - 개인용 ... 월간 €2.69/월 · 연간 €29.59/년 · 평생 €67.90,"Rimuovere la sezione device-tier o riportare al piano unico 2,99/29,99"
critical,prezzo,ko/license-guide.html,599,Device tier 5개 con prezzi inesistenti €3.99/€39.99/€89.90 (tier rimandati; nessuno di questi prezzi in SSOT),5개 기기 - 가족 ... 월간 €3.99/월 · 연간 €39.99/년 · 평생 €89.90,Rimuovere sezione device-tier
critical,prezzo,ko/license-guide.html,621,Device tier 10개 con prezzi inesistenti €5.99/€59.99/€129.90 (tier rimandati),10개 기기 - 팀 ... 월간 €5.99/월 · 연간 €59.99/년 · 평생 €129.90,Rimuovere sezione device-tier
critical,prezzo,license-guide.html,545,"Prezzo annuale mostra range 29,99–24,99 con tier standard 24,99€ inesistente in SSOT","&#8364;29,99&ndash;24,99/anno","Prezzo annuale unico 29,99€; 24,99€ non esiste nel listino"
critical,prezzo,license-guide.html,546,"Nota Founder cita fallback 24,99€ che non esiste in SSOT","Prezzo Founder &#8364;29,99 per i primi 100 (bloccato a vita), poi &#8364;24,99","Rimuovere il fallback 24,99€; annuale = 29,99€"
critical,claim-contraddittorio,license-guide.html,575,Menziona piano Lifetime inesistente e tier dispositivi 3/5/10 non previsti (piano UNICO),"Scegli Mensile, Annuale o Lifetime, poi seleziona il livello dispositivi che ti serve (3, 5 o 10)",Rimuovere Lifetime e i tier device; piano unico
critical,claim-contraddittorio,license-guide.html,715,Trial dichiarato 15 giorni ma poi 'Dopo 30 giorni' torna a Free: incoerenza interna e vs SSOT (15gg),"prova gratuita di 15 giorni ... Dopo 30 giorni, se non acquisti un piano, l'estensione continua automaticamente con il livello Free",Uniformare a 15 giorni: 'Dopo 15 giorni...'
critical,prezzo,pl/best-ad-blocker-2026.html,265,"JSON-LD Offer e testo FAQ con annuale 19,99€ (Founder) / 24,99 (standard) e Founder Lifetime 99€: annuale errato (SSOT 29,99) e Lifetime inesistente","righe 264-274 Offer 'price 19.99 ... then 24.99' e 'Founder Lifetime price 99'; riga 214/813 'lub 19,99 EUR/rok dla pierwszych 100 Founderów'","Annuale = 29,99€; rimuovere Founder Lifetime; niente prezzo 24,99"
critical,prezzo,pl/guide.html,485,"Tabella piani con Pro Rocznie 19,99€ e Pro Dozywotni (Lifetime) 99€: prezzo annuale errato (SSOT 29,99) e piano Lifetime inesistente","riga 485 'Pro Rocznie | 19,99 EUR/rok'; riga 486 'Pro Dozywotni | 99 EUR'","Annuale = 29,99€; rimuovere la riga Pro Dozywotni/Lifetime"
critical,prezzo,pl/license-guide.html,517,"Prezzi completamente errati vs SSOT: mostra range 2,69-5,99/mese, 29,59-59,99/anno e piano Lifetime 67,90-129,90 (piano inesistente); niente prezzi reali 2,99/29,99/4,99","riga 517 '€2,69–5,99/miesiąc'; riga 531 '€29,59–59,99/rok'; riga 545 '€67,90–129,90'","Sostituire con SSOT: Pro 2,99€/mese, 29,99€/anno; Premium 4,99€/mese; rimuovere del tutto il piano Lifetime"
critical,claim-contraddittorio,pl/license-guide.html,568,"Intera sezione 'Warstwy Urządzeń' con tier 3/5/10 dispositivi e prezzi 2,69/3,99/5,99 e 29,59/39,99/59,99 e 67,90/89,90/129,90: piani device-tier inesistenti (piano UNICO)","righe 568-633: '3 Urządzenia' 2,69€, '5 Urządzeń' 3,99€, '10 Urządzeń' 5,99€, plus varianti annuali/lifetime",Rimuovere l'intera sezione device-tier; il modello è a piano unico ~3 dispositivi
critical,link-morto,pl/pricing.html,260,"pricing.html non esiste nella cartella pl/: index.html vi punta due volte (bottone 'Odkryj Premium' e 'Porównaj wszystkie plany'), generando 404","index.html righe 260 e 264: href=""pricing.html""; ls di site/pl/ NON contiene pricing.html",Creare pl/pricing.html tradotto (con prezzi SSOT) oppure ripuntare i link a una pagina esistente
critical,testo-illeggibile,premium.html,295,"Prezzi dei piani invisibili bianco-su-bianco nel tema light (default). .plan-card__amount usa color:var(--pure-white) (=#ffffff sempre), ma .plan-card ha background:var(--surface) che in tema light = #ffffff.",.plan-card__amount { ... color: var(--pure-white); } su .plan-card{background:var(--surface)} — in :root light --surface:#ffffff e --pure-white:#ffffff,"Usare color:var(--text) (tema-aware) invece di var(--pure-white) per .plan-card__amount, così resta scuro su light e chiaro su dark. Riguarda i 3 prezzi €4.99/€29.99/€49.99."
